user_id,meal_id,rating
1,5,3
1,7,4.5
1,10,4
1,24,2
1,25,4.5
1,28,3.5
1,32,2.5
1,37,2
1,20,5
2,3,4
2,10,3
2,14,4.5
2,28,2
2,34,4.5
2,31,2
5,11,4.5
5,15,2
5,22,1.5
5,24,2.5
5,41,4
6,22,2
6,5,4
6,11,3
6,24,4.5
6,36,4
6,38,2
6,1,5
6,21,2.5
6,26,4
8,42,5
8,44,4.5
8,27,4
8,20,4
8,21,4.5
8,18,5
8,16,3
8,15,1
8,33,3
8,19,2
8,17,3.5
9,0,4
9,4,3.5
9,5,2
9,3,4
9,41,4
9,20,5
9,15,2
9,8,1
9,28,2
10,0,3
10,3,2.5
10,18,4
10,19,3
10,20,1.5
10,23,1.5
10,27,5
10,31,1.5
10,35,3
10,38,3.5
10,49,2
11,5,5
11,14,3.5
11,36,3.5
11,46,4.5
12,0,4
12,1,5
12,2,3
12,3,4.5
12,5,3.5
12,8,2.5
12,9,2
12,10,3.5
12,11,2
12,18,4.5
12,20,3.5
12,22,3
12,29,3.5
12,30,4
12,31,5
12,32,2.5
12,35,5
12,49,4.5
13,8,3
13,9,3
13,10,4
13,11,3.5
13,12,3
13,21,2.5
13,28,5
13,49,3
14,0,4
14,2,2.5
14,5,2.5
14,8,3.5
14,12,2
14,18,4
14,19,4
14,21,4.5
14,22,4
14,23,4.5
14,25,3
14,26,3
14,32,3.5
14,36,2.5
14,49,5
15,0,3.5
15,3,3.5
15,6,4.5
15,8,4.5
15,9,4
15,11,5
15,14,3
15,17,2.5
15,18,3
15,21,4.5
15,22,5
15,26,2.5
15,31,4.5
15,38,1
15,41,5
15,45,3
15,48,3
15,50,4
16,16,5
16,27,4
16,47,3
3,2,3
3,6,4
3,8,4
3,0,2.5
3,10,3
3,11,4
3,15,2
3,18,4.5
3,21,2
3,22,1
3,20,4
3,24,4.5
3,30,4.5
3,35,2
3,37,1
3,38,2
3,44,4
3,46,4
17,3,4.5
17,9,5
17,10,3.5
17,15,2
17,14,4.5
17,23,4
17,30,2.5
17,36,5
17,40,2
17,46,4
17,49,4.5
17,50,3
18,0,3.5
18,1,3.5
18,3,2
18,4,5
18,6,4
18,8,2
18,11,2.5
18,12,4.5
18,14,5
18,15,3
18,18,5
18,21,3
18,22,2.5
18,27,4
18,32,3.5
18,35,3
18,43,4
18,48,4.5
18,50,3
19,10,4.5
19,13,3
19,14,3
19,15,4
19,16,3.5
19,17,2.5
19,24,2.5
19,25,3
19,26,5
19,30,4
19,35,2
19,38,2.5
19,40,4.5
20,8,5
20,27,4.5
20,37,4.5
20,46,5
20,30,2.5
20,48,3
21,8,2.5
21,27,3
21,37,3
21,46,2
21,30,5
21,48,4.5
3,1,3
3,3,3
3,4,3.5
3,5,2
3,7,4
3,9,4
3,12,2
3,13,3.5
3,14,4
3,16,3
3,17,3.5
3,19,2
3,23,3.5
3,25,4
3,26,3
3,27,4
3,28,3
3,29,4
3,31,2
3,32,1
3,33,3.5
3,34,5
3,36,3
3,39,1
3,40,2
3,41,2
3,42,4
3,43,3
3,45,3
3,47,4
3,48,3
3,49,5
3,50,3.5
